Metric,Value
Total Production,164
Faulty Products,11
Faulty Rate,0.06285714285714286
Station 1 Occupancy Rate,0.14290754090099067
Station 1 Wait Time,0.0
Station 1 Downtime,0
Station 2 Occupancy Rate,0.1516432231322748
Station 2 Wait Time,0.0
Station 2 Downtime,0.5866976342902623
Station 3 Occupancy Rate,0.13922466236177275
Station 3 Wait Time,0.0
Station 3 Downtime,8.990743885815863
Station 4 Occupancy Rate,0.12486317756679953
Station 4 Wait Time,0.0
Station 4 Downtime,13.139631687497019
Station 5 Occupancy Rate,0.13357632164588767
Station 5 Wait Time,0.0
Station 5 Downtime,3.027886000503968
Station 6 Occupancy Rate,0.14298514237716128
Station 6 Wait Time,0.0
Station 6 Downtime,0.6843830588942926
Production Time,24.34079896705894
Fixing Time,1.7619561511334276
Supplier Occupancy,0.013764222795456362
