Metric,Value
Total Production,164
Faulty Products,6
Faulty Rate,0.03529411764705882
Station 1 Occupancy Rate,0.13799756765973417
Station 1 Wait Time,0.0
Station 1 Downtime,0
Station 2 Occupancy Rate,0.1371438435231551
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.1412386994328816
Station 3 Wait Time,0.0
Station 3 Downtime,4.29040788596652
Station 4 Occupancy Rate,0.1375424243018736
Station 4 Wait Time,0.0
Station 4 Downtime,10.600942603011235
Station 5 Occupancy Rate,0.1451723399047532
Station 5 Wait Time,0.0
Station 5 Downtime,2.532318341439661
Station 6 Occupancy Rate,0.13560884118538996
Station 6 Wait Time,0.0
Station 6 Downtime,13.98512140944925
Production Time,25.09523909225256
Fixing Time,3.140879023986667
Supplier Occupancy,0.012252655080826435
