Metric,Value
Total Production,166
Faulty Products,7
Faulty Rate,0.04046242774566474
Station 1 Occupancy Rate,0.13527181878835626
Station 1 Wait Time,0.0
Station 1 Downtime,0
Station 2 Occupancy Rate,0.13794927385073918
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.14429238129074676
Station 3 Wait Time,0.0
Station 3 Downtime,0
Station 4 Occupancy Rate,0.14796570942105877
Station 4 Wait Time,0.0
Station 4 Downtime,21.018004501854808
Station 5 Occupancy Rate,0.1350801806454017
Station 5 Wait Time,0.0
Station 5 Downtime,3.3253863960096277
Station 6 Occupancy Rate,0.13980477251677842
Station 6 Wait Time,0.0
Station 6 Downtime,3.162571558829538
Production Time,24.74914661354355
Fixing Time,2.7505962456693975
Supplier Occupancy,0.012917004438859726
