Metric,Value
Total Production,167
Faulty Products,8
Faulty Rate,0.045714285714285714
Station 1 Occupancy Rate,0.1419459346477253
Station 1 Wait Time,0.0
Station 1 Downtime,0
Station 2 Occupancy Rate,0.13833789418950176
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.14231794406672368
Station 3 Wait Time,0.0
Station 3 Downtime,1.4549449237405938
Station 4 Occupancy Rate,0.13503499699449054
Station 4 Wait Time,0.0
Station 4 Downtime,10.877204339502324
Station 5 Occupancy Rate,0.14189418071732138
Station 5 Wait Time,0.0
Station 5 Downtime,5.649873306292767
Station 6 Occupancy Rate,0.14704371833515145
Station 6 Wait Time,0.0
Station 6 Downtime,3.1849754201166487
Production Time,24.70829558364136
Fixing Time,2.116699798965233
Supplier Occupancy,0.013982276878602647
