Metric,Value
Total Production,33
Faulty Products,2
Faulty Rate,0.05714285714285714
Station 1 Occupancy Rate,0.14068642546310198
Station 1 Wait Time,0.0
Station 1 Downtime,0
Station 2 Occupancy Rate,0.1470004696338567
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.15096954312059366
Station 3 Wait Time,0.0
Station 3 Downtime,7.9770748329612315
Station 4 Occupancy Rate,0.13778417108760463
Station 4 Wait Time,0.0
Station 4 Downtime,5.582553828095362
Station 5 Occupancy Rate,0.12397165647942045
Station 5 Wait Time,0.0
Station 5 Downtime,0
Station 6 Occupancy Rate,0.14034718348777403
Station 6 Wait Time,0.0
Station 6 Downtime,0
Occupancy Rate,0.8407594492723514
Wait Time,0.0
Downtime,13.559628661056593
Production Time,24.53497820584547
Fixing Time,6.779814330528296
Supplier Occupancy,0.012706829379757664
