Metric,Value
Total Production,32
Faulty Products,2
Faulty Rate,0.058823529411764705
Station 1 Occupancy Rate,0.1359046793089823
Station 1 Wait Time,0.0
Station 1 Downtime,0
Station 2 Occupancy Rate,0.15503813502811734
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.1519170527476029
Station 3 Wait Time,0.0
Station 3 Downtime,0
Station 4 Occupancy Rate,0.1139782170889994
Station 4 Wait Time,0.0
Station 4 Downtime,0.9076258900796454
Station 5 Occupancy Rate,0.16594666079948167
Station 5 Wait Time,0.0
Station 5 Downtime,0
Station 6 Occupancy Rate,0.1430414232057553
Station 6 Wait Time,0.0
Station 6 Downtime,6.02568005448235
Occupancy Rate,0.865826168178939
Wait Time,0.0
Downtime,6.933305944561996
Production Time,25.59357366721577
Fixing Time,1.733326486140499
Supplier Occupancy,0.013098941626363285
