Metric,Value
Total Production,169
Faulty Products,6
Faulty Rate,0.03428571428571429
Station 1 Occupancy Rate,0.14101588486524594
Station 1 Wait Time,0.0
Station 1 Downtime,1.9586962777625518
Station 2 Occupancy Rate,0.13989055943594422
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.13790089457613275
Station 3 Wait Time,0.0
Station 3 Downtime,2.632623721425002
Station 4 Occupancy Rate,0.1414176651248381
Station 4 Wait Time,0.0
Station 4 Downtime,18.461518130992424
Station 5 Occupancy Rate,0.1351255683827268
Station 5 Wait Time,0.0
Station 5 Downtime,10.007894170438052
Station 6 Occupancy Rate,0.14197919875726153
Station 6 Wait Time,0.0
Station 6 Downtime,2.568465205331955
Production Time,24.49160470386703
Fixing Time,2.3752798337299987
Supplier Occupancy,0.012750553992006485
