Metric,Value
Total Production,32
Faulty Products,1
Faulty Rate,0.030303030303030304
Station 1 Occupancy Rate,0.13316503679243233
Station 1 Wait Time,0.0
Station 1 Downtime,3.7988031270270146
Station 2 Occupancy Rate,0.1524505184773352
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.140747433641551
Station 3 Wait Time,0.0
Station 3 Downtime,0
Station 4 Occupancy Rate,0.12546444366039264
Station 4 Wait Time,0.0
Station 4 Downtime,4.11788296555822
Station 5 Occupancy Rate,0.14844041704468192
Station 5 Wait Time,0.0
Station 5 Downtime,2.931112733091987
Station 6 Occupancy Rate,0.1360511783030545
Station 6 Wait Time,0.0
Station 6 Downtime,2.088526719435892
Occupancy Rate,0.8363190279194476
Wait Time,0.0
Downtime,12.936325545113112
Production Time,26.113934741342227
Fixing Time,3.2340813862782785
Supplier Occupancy,0.012504492999732634
