Metric,Value
Total Production,32
Faulty Products,3
Faulty Rate,0.08571428571428572
Station 1 Occupancy Rate,0.15933516499698108
Station 1 Wait Time,0.0
Station 1 Downtime,0
Station 2 Occupancy Rate,0.13688836170124422
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.15380758436692052
Station 3 Wait Time,0.0
Station 3 Downtime,0
Station 4 Occupancy Rate,0.13006751586300863
Station 4 Wait Time,0.0
Station 4 Downtime,0
Station 5 Occupancy Rate,0.1348686544445961
Station 5 Wait Time,0.0
Station 5 Downtime,0
Station 6 Occupancy Rate,0.13954468991576258
Station 6 Wait Time,0.0
Station 6 Downtime,0
Occupancy Rate,0.8545119712885132
Wait Time,0.0
Downtime,0
Production Time,24.455566482163817
Fixing Time,0
Supplier Occupancy,0.013607745793102935
