Metric,Value
Total Production,161
Faulty Products,10
Faulty Rate,0.05847953216374269
Station 1 Occupancy Rate,0.13148519628129934
Station 1 Wait Time,0.0
Station 1 Downtime,5.239561791734197
Station 2 Occupancy Rate,0.1368854499363635
Station 2 Wait Time,0.0
Station 2 Downtime,6.129145635061352
Station 3 Occupancy Rate,0.1397550720299294
Station 3 Wait Time,0.0
Station 3 Downtime,0
Station 4 Occupancy Rate,0.13946286789735918
Station 4 Wait Time,0.0
Station 4 Downtime,43.709759976243
Station 5 Occupancy Rate,0.1419034838666094
Station 5 Wait Time,0.0
Station 5 Downtime,0
Station 6 Occupancy Rate,0.14612386667047897
Station 6 Wait Time,0.0
Station 6 Downtime,0
Production Time,25.090262398950234
Fixing Time,4.589872283586546
Supplier Occupancy,0.01355660925024979
