Metric,Value
Total Production,171
Faulty Products,3
Faulty Rate,0.017241379310344827
Station 1 Occupancy Rate,0.1397860972860306
Station 1 Wait Time,0.0
Station 1 Downtime,6.116435330948884
Station 2 Occupancy Rate,0.14208003095620364
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.13835189127136138
Station 3 Wait Time,0.0
Station 3 Downtime,0
Station 4 Occupancy Rate,0.13622700044800928
Station 4 Wait Time,0.0
Station 4 Downtime,7.220129808497768
Station 5 Occupancy Rate,0.13176532157879148
Station 5 Wait Time,0.0
Station 5 Downtime,3.0672830837661573
Station 6 Occupancy Rate,0.1455601239917966
Station 6 Wait Time,0.0
Station 6 Downtime,2.002504099034983
Production Time,24.34143089529824
Fixing Time,1.673304756567981
Supplier Occupancy,0.013901732141327557
