Metric,Value
Total Production,32
Faulty Products,2
Faulty Rate,0.058823529411764705
Station 1 Occupancy Rate,0.15438457298759858
Station 1 Wait Time,0.0
Station 1 Downtime,0
Station 2 Occupancy Rate,0.13614072189436757
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.13716367078334726
Station 3 Wait Time,0.0
Station 3 Downtime,0
Station 4 Occupancy Rate,0.12766884956740657
Station 4 Wait Time,0.0
Station 4 Downtime,0
Station 5 Occupancy Rate,0.13807695348009807
Station 5 Wait Time,0.0
Station 5 Downtime,0
Station 6 Occupancy Rate,0.12894860581829803
Station 6 Wait Time,0.0
Station 6 Downtime,1.4551985612305471
Occupancy Rate,0.8223833745311161
Wait Time,0.0
Downtime,1.4551985612305471
Production Time,24.31646415257522
Fixing Time,1.4551985612305471
Supplier Occupancy,0.01530558900778101
